id,ans
1,1446
2,1499
3,5127
4,6152
5,6746
6,273
7,2522
8,78
9,4328
10,1634
11,2522
12,10010
13,8916
14,2930
15,7513
16,5235
17,4717
18,7524
19,6718
20,7318
21,9023
22,9730
23,4861
24,1686
25,3404
26,5246
27,8546
28,4094
29,6134
30,3569
31,4161
32,1090
33,4992
34,8469
35,5225
36,8939
37,4908
38,7195
39,8089
40,7406
41,2235
42,1711
43,9297
44,1962
45,5866
46,4821
47,301
48,3706
49,3130
50,3845
51,2761
52,5479
53,951
54,676
55,6177
56,4112
57,3808
58,3862
59,2086
60,7755
61,7348
62,10044
63,1996
64,1852
65,7083
66,1601
67,2996
68,5765
69,5702
70,844
71,4460
72,5543
73,5459
74,1092
75,7443
76,6314
77,8278
78,8393
79,2235
80,7261
81,9682
82,4814
83,9712
84,2221
85,1496
86,8742
87,10086
88,4483
89,417
90,10093
91,4547
92,3957
93,6200
94,1885
95,6180
96,5489
97,1607
98,3941
99,8933
100,5187
101,9014
102,2914
103,6204
104,8288
105,3643
106,5833
107,4527
108,6633
109,4225
110,9166
111,9730
112,5539
113,8657
114,5491
115,9087
116,2897
117,3090
118,4741
119,7271
120,8974
121,3504
122,3356
123,2015
124,5189
125,4887
126,8803
127,9168
128,6200
129,4135
130,2156
131,8788
132,4988
133,5234
134,2793
135,5982
136,1446
137,5303
138,6200
139,1537
140,4782
141,6394
142,4256
143,2880
144,1023
145,5452
146,7756
147,8826
148,10159
149,6458
150,5198
151,4031
152,2111
153,301
154,6288
155,6298
156,7367
157,3410
158,4338
159,7158
160,4693
161,3862
162,8827
163,9810
164,8379
165,4637
166,9926
167,5247
168,2221
169,7867
170,3067
171,1574
172,2309
173,289
174,2219
175,3875
176,3697
177,10117
178,4221
179,2861
180,10134
181,7317
182,9187
183,5008
184,9918
185,4143
186,4852
187,5042
188,4741
189,3730
190,3400
191,10174
192,4210
193,9742
194,25
195,4028
196,5234
197,9818
198,7265
199,1984
200,6394
201,6418
202,2084
203,3043
204,7346
205,6936
206,8500
207,8831
208,4582
209,7569
210,8632
211,5334
212,1389
213,4424
214,2507
215,4975
216,6955
217,7867
218,3017
219,1180
220,3911
221,5291
222,1985
223,4832
224,8722
225,8632
226,1373
227,4811
228,8827
229,47
230,5298
231,2972
232,6682
233,2898
234,4625
235,9206
236,8682
237,7294
238,1648
239,7237
240,3135
241,8470
242,4710
243,4251
244,3035
245,7133
246,2095
247,1448
248,9073
249,4924
250,3981
251,6558
252,4562
253,4220
254,4393
255,1356
256,371
257,1382
258,8761
259,9288
260,6705
261,1634
262,3188
263,8448
264,5581
265,8776
266,10160
267,3305
268,6548
269,3846
270,9719
271,9150
272,6232
273,8511
274,2141
275,5235
276,3413
277,9986
278,1180
279,6418
280,6876
281,4600
282,6166
283,1559
284,10021
285,9758
286,4076
287,4874
288,3231
289,3043
290,8278
291,6583
292,1535
293,9979
294,2303
295,3762
296,8722
297,8431
298,3186
299,9693
300,5581
301,5293
302,10014
303,5866
304,5221
305,5519
306,8208
307,2867
308,3641
309,6718
310,9924
311,4126
312,10016
313,997
314,1297
315,6681
316,7067
317,66
318,5126
319,1170
320,4153
321,8785
322,2243
323,6280
324,4805
325,7881
326,4975
327,6851
328,1149
329,3010
330,7222
331,6320
332,6803
333,495
334,403
335,6214
336,5508
337,8393
338,9850
339,5464
340,1581
341,4583
342,6789
343,5353
344,2534
345,1601
346,9065
347,7233
348,1371
349,8812
350,3278
351,4174
352,5224
353,8860
354,5344
355,3980
356,6134
357,5703
358,9166
359,1810
360,7003
361,8385
362,25
363,7641
364,4876
365,2314
366,1275
367,1549
368,4061
369,6672
370,1839
371,5609
372,5173
373,7003
374,8939
375,8974
376,4671
377,5147
378,8960
379,3880
380,6359
381,2973
382,8954
383,1275
384,987
385,7260
386,8618
387,6995
388,7066
389,8480
390,1840
391,10130
392,6076
393,348
394,5450
395,3911
396,6100
397,3625
398,3022
399,1631
400,6025
401,600
402,4221
403,9116
404,2101
405,6079
406,5028
407,10095
408,6042
409,8817
410,1043
411,8910
412,5125
413,447
414,4511
415,7238
416,5020
417,7796
418,4209
419,1362
420,3620
421,676
422,5222
423,3329
424,2870
425,7673
426,8876
427,9601
428,4702
429,4562
430,2309
431,5221
432,7256
433,2813
434,8566
435,1580
436,2443
437,3404
438,5165
439,5144
440,9156
441,6136
442,3477
443,871
444,2945
445,3847
446,2758
447,1672
448,7866
449,4219
450,2073
451,7924
452,5350
453,1996
454,9705
455,31
456,2996
457,4872
458,3625
459,8626
460,6714
461,8942
462,1899
463,21
464,4782
465,8275
466,5088
467,1585
468,6802
469,6367
470,2612
471,5866
472,8511
473,3862
474,924
475,6005
476,8701
477,4126
478,10042
479,3994
480,4157
481,5750
482,4782
483,8933
484,5303
485,1691
486,861
487,4747
488,2061
489,8847
490,9950
491,2296
492,6330
493,4153
494,6002
495,4573
496,8415
497,5770
498,2761
499,8971
500,8779
501,1886
502,6288
503,5715
504,2101
505,8850
506,122
507,6914
508,5416
509,5748
510,8278
511,2910
512,4126
513,10010
514,5479
515,8032
516,2063
517,3788
518,1382
519,5760
520,5096
521,6648
522,273
523,5625
524,2125
525,6631
526,6894
527,6556
528,8072
529,8987
530,4244
531,2190
532,4247
533,10087
534,4139
535,5428
536,9542
537,8878
538,5353
539,2006
540,6339
541,4876
542,9850
543,7244
544,1335
545,9277
546,8692
547,4884
548,5537
549,7910
550,7408
551,4035
552,1228
553,496
554,4571
555,3090
556,6314
557,8972
558,1560
559,6928
560,5715
561,3364
562,2791
563,2249
564,973
565,8392
566,4139
567,7240
568,2580
569,4920
570,2937
571,8916
572,5287
573,978
574,4436
575,8879
576,6999
577,1151
578,8440
579,1481
580,9156
581,9926
582,5198
583,3432
584,220
585,199
586,4863
587,2242
588,5046
589,3389
590,4905
591,1714
592,5101
593,7336
594,5344
595,1686
596,9687
597,8705
598,2612
599,6087
600,8427
601,8712
602,2134
603,1281
604,4151
605,5451
606,5508
607,978
608,2952
609,6181
610,9198
611,7353
612,9054
613,9168
614,8963
615,8286
616,6043
617,9090
618,5932
619,8785
620,9013
621,9874
622,4934
623,9206
624,3835
625,3357
626,8960
627,5321
628,1648
629,2231
630,4652
631,993
632,1714
633,2537
634,10080
635,8887
636,9151
637,4197
638,6087
639,5340
640,3875
641,3760
642,7367
643,4138
644,3751
645,5291
646,4914
647,8726
648,291
649,9031
650,7004
651,1223
652,4808
653,1393
654,8967
655,6695
656,1538
657,3895
658,2580
659,10156
660,1170
661,9056
662,9041
663,4652
664,5225
665,6282
666,8148
667,4884
668,7426
669,3699
670,2937
671,2613
672,4543
673,6290
674,4652
675,6543
676,4048
677,7426
678,5760
679,8430
680,3043
681,3524
682,4251
683,4268
684,5145
685,4795
686,2808
687,5234
688,2984
689,5140
690,4941
691,6155
692,3912
693,305
694,8942
695,8770
696,1297
697,5489
698,2083
699,2433
700,5512
701,3014
702,1993
703,6354
704,5139
705,6044
706,8643
707,1034
708,2195
709,8834
710,6282
711,5543
712,5225
713,5704
714,7552
715,9646
716,9011
717,2063
718,6691
719,9731
720,4286
721,6263
722,7426
723,8457
724,2120
725,5094
726,5794
727,1646
728,9798
729,8944
730,3449
731,8796
732,3795
733,3294
734,9001
735,1326
736,8974
737,10173
738,2026
739,4219
740,1471
741,6207
742,8896
743,7460
744,4219
745,2231
746,9098
747,3207
748,8506
749,2406
750,8942
751,2570
752,1696
753,8529
754,5274
755,9006
756,9166
757,6921
758,10111
759,9179
760,8785
761,8856
762,7932
763,9902
764,9245
765,7632
766,6562
767,6806
768,10156
769,2017
770,5635
771,1336
772,3047
773,4472
774,8856
775,6952
776,8812
777,1153
778,9719
779,1011
780,5578
781,8679
782,7124
783,8964
784,8954
785,1393
786,3118
787,3714
788,2167
789,5139
790,2867
791,1566
792,7320
793,5672
794,2972
795,8392
796,951
797,9047
798,5706
799,3929
800,2114
801,1649
802,9950
803,4447
804,1423
805,6736
806,3817
807,8707
808,4860
809,4628
810,6330
811,6418
812,6081
813,3134
814,4245
815,5370
816,9023
817,7349
818,7151
819,4410
820,6031
821,1725
822,3175
823,7786
824,2613
825,5326
826,4511
827,7418
828,1033
829,1291
830,5153
831,6207
832,5464
